Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Destiny Udogie,it ITA,DF,22-176,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1,Matches
Pape Matar Sarr,sn SEN,MF,22-251,20.8,44,2.12,34,2,2,4,0,2,6,0.29,4,0,1,1,0,0,Matches
James Maddison,eng ENG,MF,28-181,20.1,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0,Matches
Rodrigo Bentancur,uy URU,MF,27-332,17.6,45,2.56,36,0,1,5,1,2,3,0.17,3,0,0,0,0,0,Matches
Djed Spence,eng ENG,DF,24-287,19.8,29,1.46,23,1,4,1,0,0,5,0.25,3,1,1,0,0,0,Matches
Archie Gray,eng ENG,"DF,MF",19-072,18.5,5,0.27,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cristian Romero,ar ARG,DF,27-026,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches
Yves Bissouma,ml MLI,MF,28-266,15.4,16,1.04,15,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Ben Davies,wls WAL,DF,32-029,14.5,8,0.55,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Radu Drăgușin,ro ROU,DF,23-109,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Lucas Bergvall,se SWE,MF,19-110,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0,Matches
Micky van de Ven,nl NED,DF,24-034,10.6,11,1.04,8,0,0,2,1,0,2,0.19,2,0,0,0,0,0,Matches
Mathys Tel,fr FRA,FW,20-026,9.2,25,2.72,17,1,2,2,3,0,1,0.11,1,0,0,0,0,0,Matches
Wilson Odobert,fr FRA,"FW,MF",20-176,8.9,16,1.79,14,0,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches
Kevin Danso,at AUT,DF,26-246,8.4,9,1.08,8,0,0,1,0,0,2,0.24,2,0,0,0,0,0,Matches
Fraser Forster,eng ENG,GK,37-067,7.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonín Kinský,cz CZE,GK,22-071,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Timo Werner,de GER,"FW,MF",29-078,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches
Richarlison,br BRA,FW,28-013,5.3,8,1.5,5,0,0,2,1,0,1,0.19,1,0,0,0,0,0,Matches
Mikey Moore,eng ENG,FW,17-285,4.1,12,2.95,7,2,0,1,2,0,2,0.49,1,0,0,1,0,0,Matches
Sergio Reguilón,es ESP,DF,28-158,2.2,1,0.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Brandon Austin,eng ENG,GK,26-135,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dane Scarlett,eng ENG,"FW,MF",21-060,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches
Alfie Dorrington,eng ENG,DF,20-033,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Will Lankshear,eng ENG,"FW,MF",20-033,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.8,37.0,868,23.46,644,67,52,59,35,11,104,2.81,78,7,8,7,3,1,
Opponent Total,,,27.1,37.0,868,23.46,638,66,56,65,28,15,103,2.78,75,7,7,8,3,3,
Jamie Vardy,eng ENG,FW,38-132,31.4,47,1.5,33,0,6,2,6,0,10,0.32,5,0,2,1,2,0,Matches
James Justin,eng ENG,DF,27-089,31.4,33,1.05,21,2,1,4,5,0,2,0.06,2,0,0,0,0,0,Matches
Wout Faes,be BEL,DF,27-050,30.3,17,0.56,15,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Victor Bernth Kristiansen,dk DEN,DF,22-158,26.6,41,1.54,32,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
Wilfred Ndidi,ng NGA,MF,28-158,25.8,31,1.2,29,0,1,1,0,0,4,0.15,4,0,0,0,0,0,Matches
