Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Mohamed Salah,eg EGY,FW,32-342,36.5,164,4.5,119,2,22,14,5,2,27,0.74,20,0,5,2,0,0,Matches
Virgil van Dijk,nl NED,DF,33-319,36.0,48,1.33,41,0,1,3,1,2,4,0.11,4,0,0,0,0,0,Matches
Ryan Gravenberch,nl NED,MF,23-007,34.4,66,1.92,58,0,5,2,0,1,6,0.17,6,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,MF,26-150,28.9,120,4.15,83,24,2,6,2,3,15,0.52,10,3,0,2,0,0,Matches
Ibrahima Konaté,fr FRA,DF,25-363,27.8,31,1.12,26,0,0,4,0,1,7,0.25,6,0,0,0,0,1,Matches
Dominik Szoboszlai,hu HUN,MF,24-210,27.0,117,4.33,88,7,5,13,3,1,16,0.59,12,1,0,3,0,0,Matches
Andrew Robertson,sct SCO,DF,31-073,26.6,78,2.93,66,9,1,1,0,1,4,0.15,4,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,26-228,25.8,95,3.68,73,14,4,4,0,0,10,0.39,9,1,0,0,0,0,Matches
Alisson,br BRA,GK,32-233,26.9,6,0.22,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Luis Díaz,co COL,FW,28-130,25.9,117,4.52,88,0,16,9,4,0,16,0.62,13,0,1,0,2,0,Matches
Cody Gakpo,nl NED,FW,26-016,20.5,76,3.71,55,0,9,5,5,2,7,0.34,3,0,3,0,1,0,Matches
Curtis Jones,eng ENG,"MF,DF",24-113,18.0,49,2.72,42,1,0,4,2,0,8,0.44,5,1,0,1,1,0,Matches
Diogo Jota,pt POR,FW,28-170,13.0,35,2.7,22,0,6,5,1,1,9,0.7,5,0,2,1,1,0,Matches
Caoimhín Kelleher,ie IRL,GK,26-181,10.0,3,0.3,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,29-011,9.3,31,3.33,21,9,0,0,1,0,2,0.21,1,1,0,0,0,0,Matches
Darwin Núñez,uy URU,FW,25-333,12.3,30,2.44,20,0,4,1,2,3,4,0.33,3,0,0,0,1,0,Matches
Conor Bradley,nir NIR,DF,21-318,7.9,19,2.42,13,0,5,0,1,0,4,0.51,3,0,1,0,0,0,Matches
Joe Gomez,eng ENG,DF,28-000,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Jarell Quansah,eng ENG,DF,22-114,5.5,3,0.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-049,4.1,21,5.18,17,3,1,0,0,0,3,0.74,3,0,0,0,0,0,Matches
Wataru Endo,jp JPN,"MF,DF",32-103,2.8,6,2.13,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Chiesa,it ITA,FW,27-210,1.2,6,5.0,6,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
Vitezslav Jaros,cz CZE,GK,23-304,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jayden Danns,eng ENG,MF,19-127,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,37.0,1126,30.43,861,69,81,71,27,17,146,3.95,111,7,12,9,6,1,
Opponent Total,,,26.9,37.0,647,17.49,482,44,40,37,38,6,65,1.76,44,7,4,5,4,1,
David Raya,es ESP,GK,29-250,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
William Saliba,fr FRA,DF,24-060,33.8,27,0.8,25,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches
Declan Rice,eng ENG,MF,26-129,30.4,106,3.49,57,33,4,5,5,2,10,0.33,6,2,1,1,0,0,Matches
Thomas Partey,gh GHA,"MF,DF",31-344,30.1,61,2.03,51,2,1,2,1,4,13,0.43,8,2,0,1,1,1,Matches
Leandro Trossard,be BEL,FW,30-170,28.0,92,3.29,71,2,7,6,4,2,7,0.25,7,0,0,0,0,0,Matches
Gabriel Magalhães,br BRA,DF,27-155,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0,Matches
Jurriën Timber,nl NED,DF,23-340,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0,Matches
Martin Ødegaard,no NOR,MF,26-157,25.7,123,4.8,101,13,2,5,2,0,17,0.66,14,2,0,1,0,0,Matches
Gabriel Martinelli,br BRA,"FW,MF",23-339,24.7,67,2.71,51,1,8,4,3,0,6,0.24,3,0,1,1,1,0,Matches
Kai Havertz,de GER,"FW,MF",25-346,20.6,41,1.99,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Matches
Bukayo Saka,eng ENG,"FW,MF",23-260,18.9,112,5.93,68,20,11,9,4,0,23,1.22,14,5,2,1,1,0,Matches
Mikel Merino,es ESP,"MF,FW",28-335,16.6,41,2.47,34,0,0,5,2,0,4,0.24,3,0,0,1,0,0,Matches
Myles Lewis-Skelly,eng ENG,DF,18-239,15.0,29,1.94,21,0,1,1,6,0,0,0.0,0,0,0,0,0,0,Matches
Ben White,eng ENG,DF,27-227,12.3,19,1.54,18,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Riccardo Calafiori,it ITA,DF,23-004,10.9,13,1.19,11,0,1,1,0,0,2,0.18,2,0,0,0,0,0,Matches
Ethan Nwaneri,eng ENG,"FW,MF",18-063,9.1,22,2.41,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0,Matches
Jakub Kiwior,pl POL,DF,25-097,11.5,8,0.7,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jorginho,it ITA,MF,33-154,7.8,12,1.54,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Jesus,br BRA,FW,28-050,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0,Matches
Raheem Sterling,eng ENG,"FW,MF",30-166,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",28-159,5.1,16,3.14,11,1,1,2,1,0,2,0.39,2,0,0,0,0,0,Matches
Kieran Tierney,sct SCO,"DF,FW",27-352,2.2,8,3.65,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nathan Butler-Oyedeji,eng ENG,FW,22-139,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Takehiro Tomiyasu,jp JPN,DF,26-199,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Reiss Nelson,eng ENG,FW,25-164,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,37.0,926,25.03,695,80,47,59,34,11,115,3.11,83,11,5,11,4,1,
Opponent Total,,,27.0,37.0,634,17.14,476,46,29,38,30,15,59,1.59,37,7,2,4,7,2,
Joško Gvardiol,hr CRO,DF,23-120,35.4,73,2.06,66,1,2,3,1,0,7,0.2,6,0,1,0,0,0,Matches
